12;2002;51691
12;2003;51691
12;2004;50400
12;2005;47800
12;2006;46900
12;2007;46314
12;2008;45857
12;2009;45402
12;2010;45265
12;2011;44087
12;2012;43605
12;2013;43305
12;2014;42491
12;2015;42020
12;2016;41539
12;2017;41127
13;2002;184526
13;2003;184526
13;2004;183700
13;2005;156000
13;2006;154800
13;2007;181343
13;2008;180543
13;2009;180745
13;2010;179512
13;2011;183933
13;2012;187912
13;2013;191091
13;2014;192844
13;2015;194250
13;2016;194761
13;2017;196863
5;2002;39356
5;2003;39356
5;2004;39300
5;2005;39300
5;2006;39200
5;2007;39145
5;2008;39117
5;2009;39363
5;2010;39340
5;2011;40479
5;2012;40762
5;2013;40694
5;2014;40393
5;2015;39879
5;2016;39978
5;2017;39739
14;2002;36189
14;2003;36189
14;2004;35700
14;2005;35400
14;2006;34900
14;2007;34273
14;2008;33853
14;2009;33825
14;2010;33909
14;2011;32145
14;2012;31771
14;2013;31565
14;2014;31309
14;2015;31309
14;2016;31516
14;2017;31551
15;2002;16132
15;2003;16132
15;2004;15900
15;2005;15900
15;2006;15800
15;2007;15989
15;2008;15639
15;2009;16026
15;2010;16160
15;2011;14570
15;2012;14366
15;2013;14091
15;2014;13680
15;2015;13362
15;2016;13464
15;2017;13380
16;2002;13995
16;2003;13995
16;2004;13800
16;2005;13700
16;2006;13400
16;2007;13615
16;2008;13266
16;2009;12995
16;2010;12839
16;2011;11258
16;2012;10973
16;2013;10679
16;2014;10405
16;2015;10180
16;2016;9950
16;2017;9758
17;2002;29488
17;2003;29488
17;2004;29200
17;2005;28900
17;2006;28800
17;2007;28596
17;2008;28707
17;2009;28426
17;2010;28278
17;2011;25773
17;2012;25447
17;2013;25281
17;2014;24986
17;2015;24657
17;2016;24491
17;2017;24244
18;2002;24618
18;2003;24618
18;2004;24200
18;2005;23900
18;2006;23800
18;2007;23369
18;2008;23276
18;2009;23222
18;2010;23109
18;2011;21172
18;2012;20762
18;2013;20444
18;2014;19926
18;2015;19611
18;2016;19268
18;2017;19008
19;2002;20820
19;2003;20820
19;2004;20800
19;2005;20700
19;2006;20700
19;2007;20548
19;2008;20526
19;2009;20241
19;2010;20172
19;2011;18505
19;2012;17996
19;2013;17796
19;2014;17452
19;2015;17254
19;2016;17075
19;2017;16889
20;2002;17521
20;2003;17521
20;2004;17200
20;2005;16900
20;2006;16600
20;2007;16674
20;2008;16596
